Price,Close,High,Low,Open,Volume
Ticker,HINDALCO.NS,HINDALCO.NS,HINDALCO.NS,HINDALCO.NS,HINDALCO.NS
Date,,,,,
2005-12-05,95.59586334228516,98.6637181936773,95.44436606921717,98.6637181936773,974744
2005-12-06,94.83837127685547,96.95935862167728,94.19449829669608,96.95935862167728,781926
2005-12-07,93.89151763916016,95.55800703139936,93.55064553355277,95.44438087063503,1367683
2005-12-08,94.42174530029297,94.83836596922833,93.70212372333279,94.30811916269813,1525653
2005-12-09,96.46698760986328,96.92148583111074,94.53537495207526,95.29287411304936,1284831
2005-12-12,97.60321807861328,98.09559374857196,96.23972995773981,96.23972995773981,1934768
2005-12-13,98.39859008789062,99.19396029861797,96.99722443708784,98.05771805139095,1769149
2005-12-14,102.03457641601562,102.56482326116047,97.5274782322845,98.09560258494744,4295985
2005-12-15,103.4359359741211,104.4585520956647,101.73156939486402,102.26181620826095,4640838
2005-12-16,107.03404998779297,107.48854184359311,103.01932729142915,104.53431289746655,5705853
2005-12-19,111.1623764038086,111.73050070652832,107.94303086180032,109.15502172224801,10307243
2005-12-20,109.0035400390625,111.73051667650257,107.9430462904202,109.83678148346138,3762587
2005-12-21,107.90515899658203,110.59427063395647,104.95093032277147,109.83677152407768,2401733
2005-12-22,106.92041015625,109.00352625723939,106.42804085378367,108.32178218407545,1061928
2005-12-23,105.74630737304688,108.20816703380183,104.9130659002883,107.90517245341155,2355956
2005-12-26,103.5116958618164,105.7463031207344,102.64057691319617,104.53431209453971,1729843
2005-12-27,105.70843505859375,106.5038053882658,102.33757894093333,103.47382135808122,2080020
2005-12-28,103.17082214355469,105.67055279824329,102.45120049048138,105.29180959400864,2922253
2005-12-29,105.59480285644531,106.54167042039379,103.62531908863467,104.1176884364161,6639094
2005-12-30,108.6247787475586,109.15502556475589,105.74629238181072,105.89779602721312,2913298
2006-01-02,110.74578857421875,110.97302814689782,109.38228737128705,109.76103699691411,2938463
2006-01-03,111.80625915527344,112.5258679901526,110.2912609680698,110.97300505096392,3002389
2006-01-04,112.9425277709961,113.54852977215967,111.16241203720797,111.88203383398924,3843114
2006-01-05,113.3212661743164,114.38176000601217,111.80628045191013,114.38176000601217,3608098
2006-01-06,116.80573272705078,117.33597959960868,112.86676506902798,112.86676506902798,4953063
2006-01-09,115.82098388671875,117.82833867322735,114.79836774038013,117.1844720818369,2769220
2006-01-10,114.41962432861328,115.66949282569996,113.62424766984458,115.66949282569996,1686882
2006-01-12,113.2454833984375,114.53322923661275,111.73049804727752,113.54849067136398,4703854
2006-01-13,112.48800659179688,115.82098484829537,111.2760156579219,113.62424251270565,4913225
2006-01-16,113.09400939941406,114.15450318935491,111.57902373665746,111.73052102759604,3554758
2006-01-17,111.91989135742188,115.40436716988594,110.78364259072957,113.62425175409012,4363990
2006-01-18,114.9119873046875,115.48011163611686,109.6473965575207,111.35175679843971,4880843
2006-01-19,120.02510833740234,120.7447301050905,115.51800291065172,115.89675255189516,6009369
2006-01-20,119.75993347167969,121.19917646607166,118.207070728971,120.63105221775369,3696048
2006-01-23,119.75993347167969,120.36593522055895,116.65420798626234,118.92669222616699,3149883
2006-01-24,118.8130874633789,121.95669084585059,118.24496314340517,120.0629431126048,3353571
2006-01-25,119.267578125,120.78256354371739,117.26021064833341,118.2449620108631,5704014
2006-01-27,121.16133880615234,122.1839551373642,120.1765999879568,120.47959458534444,3963712
2006-01-30,121.50220489501953,123.43381767603677,121.00983551032313,121.95670952194756,3326805
2006-01-31,124.83516693115234,125.36541375635042,119.11608437225333,120.97194188376203,6745145
2006-02-01,122.1839370727539,127.86515507736009,120.66895155643137,125.3654181350638,5609241
2006-02-02,125.66837310791016,126.88037644328641,122.03240136187783,122.78990025814662,3996471
2006-02-03,123.8883285522461,127.18342987352024,122.48696259637549,126.50168565210983,3073501
2006-02-06,127.06980895996094,128.9635572519945,122.33546373662216,122.71421339502886,4165216
2006-02-07,127.18341827392578,129.45590305582536,125.89567222128028,128.01665971816925,3902956
2006-02-08,125.13816833496094,127.25914278252759,124.07767473449337,125.74415739044613,2154043
2006-02-10,124.5322036743164,126.3880616520566,123.50958727311024,125.13820566394169,2817513
2006-02-13,123.01717376708984,124.98665083284223,122.10817748492923,124.98665083284223,2898087
2006-02-14,120.1008529663086,123.01721760898921,119.75998083318648,122.71421023803559,2300901
2006-02-15,123.66104888916016,124.60792273921908,119.68420422564985,122.63843278311766,3508040
2006-02-16,121.35067749023438,124.94878508815336,120.74468847586967,123.85041405790781,4521369
2006-02-17,116.61634826660156,122.25968860294526,115.82098440037828,119.0403301249772,3273370
2006-02-20,116.65424346923828,118.54797878628591,113.35914223210347,116.27549385515454,4560737
2006-02-21,117.2980728149414,120.1765587628076,117.07083332153819,118.51006354210428,2704486
2006-02-22,118.4343490600586,119.15397071572646,116.99510574872285,117.41173283991056,2601195
2006-02-23,116.35124206542969,119.57058808986443,115.2528707995851,118.16922225184558,4190687
2006-02-24,115.78311920166016,118.01772651925813,115.2907498270532,117.94198425190272,1601271
2006-02-27,117.14661407470703,117.94199082316237,115.13925895407442,116.50274737614505,2781679
2006-02-28,116.16188049316406,118.05561591488853,113.16977368055811,118.05561591488853,3607137
2006-03-01,120.66897583007812,121.95672206768417,115.44226135632688,116.08612809844387,4818892
2006-03-02,120.47953796386719,123.28226855593887,118.54792599491603,121.8051610228382,4983711
2006-03-03,120.06294250488281,121.42644341659191,118.62371208961729,120.44169204961486,1282173
2006-03-06,126.7668228149414,127.2591923024593,119.94936676766895,120.44173625518684,5204601
2006-03-07,126.46377563476562,128.16813575022928,123.73678669665566,124.98665503245172,3848619
2006-03-08,120.1008529663086,126.38806142466967,119.07823656694224,126.38806142466967,4377265
2006-03-09,119.53271484375,120.44169849571367,114.38174371577546,120.44169849571367,2844210
2006-03-10,121.19920349121094,123.09293865450424,119.75996017589483,120.82045390787827,2369644
2006-03-13,120.8204574584961,124.22919105529438,120.13871328981051,122.71419267744163,2998597
2006-03-14,118.16920471191406,122.18392683411135,117.48746064902852,121.95668731539511,3797346
2006-03-16,118.69944763183594,120.51744024236025,118.16920084988034,119.11607465814676,2323898
2006-03-17,120.8204574584961,123.20657480226602,117.79047345616098,120.13871328981051,2860567
2006-03-20,122.7520751953125,123.85044651339044,121.1992119973597,121.1992119973597,4127648
2006-03-21,122.7899169921875,124.75940673887283,121.42642899577734,123.32016374116557,4603159
2006-03-22,119.79784393310547,123.3959396556888,118.54797534426726,123.3959396556888,3381997
2006-03-23,121.88096618652344,123.433829511791,119.68423612363499,120.44172265219723,4262829
2006-03-24,128.6605224609375,129.68315142210415,117.41173142180293,117.41173142180293,12557375
2006-03-27,132.5615997314453,133.8493454970276,129.53161644656387,129.53161644656387,8069617
2006-03-28,130.9709014892578,135.51587149828381,130.28915726324107,135.51587149828381,4761804
2006-03-29,135.62948608398438,136.34909497467572,131.0845166766075,132.5616247196516,5330817
2006-03-30,139.11395263671875,141.57581196669972,135.59159966448848,136.04609147400862,6047212
2006-03-31,138.3943328857422,141.50005884230723,137.40958148859463,140.32594542036077,3471352
2006-04-03,140.06085205078125,141.5379731539263,138.6216212171657,140.250226878194,3703529
2006-04-04,139.18968200683594,142.4847823925154,138.2806857185942,141.04555208561442,3478468
2006-04-05,141.76519775390625,143.0529310242554,139.18970570646806,142.33330937159207,4515666
2006-04-07,141.42431640625,147.86303392980585,139.15183161951563,142.48481015695072,8781164
2006-04-10,147.59788513183594,149.52949758979028,137.78832557621644,141.08342618016945,9031245
2006-04-12,145.17391967773438,153.27911996124647,143.24230700281777,147.711534237478,13660660
2006-04-13,145.40118408203125,150.9687702692502,137.97772733015856,145.8177984562447,9352923
2006-04-17,151.30963134765625,152.0292530137576,146.95403659496668,148.46902219270257,4833778
2006-04-18,151.3853759765625,155.0592263204559,148.09026244108168,152.2564948673131,4215359
2006-04-19,154.3774871826172,157.86196285784382,152.37011954186983,153.0139861656144,9847716
2006-04-20,163.12657165527344,166.4595504147892,155.40012031487916,155.96823198438906,14640279
2006-04-21,159.94505310058594,163.61890311120538,155.3243292714076,163.61890311120538,12658553
2006-04-24,160.7025604248047,163.5810470070862,159.64206671063462,160.5889406530614,5923780
2006-04-25,155.96823120117188,160.96770569202548,155.2864869984866,160.96770569202548,7236327
2006-04-26,162.06610107421875,163.1644598119149,156.42275905509416,163.1644598119149,5768237
2006-04-27,164.414306640625,167.9366602419927,161.72520730226086,161.72520730226086,8080133
2006-04-28,161.53582763671875,162.8614385097666,153.0139997269968,162.17969431752817,8082036
2006-05-02,178.73094177246094,181.79879018743162,174.22383740794638,174.22383740794638,11186064
2006-05-03,175.01919555664062,181.6472737570429,171.9892122137773,178.76878766831763,7352778
2006-05-04,170.360595703125,178.0113027452724,168.1638663714418,178.0113027452724,5389913
2006-05-05,174.1859588623047,176.49632091289385,170.62574115236018,171.5726022732881,4485181
2006-05-08,173.27699279785156,177.21596045648383,172.44373860272438,174.22385401468492,4659421
2006-05-09,173.65570068359375,174.981324020893,168.7698598692435,173.46633867449052,3955434
2006-05-10,181.3821563720703,184.67726969950994,175.05707224841532,175.05707224841532,9063905
2006-05-11,184.22279357910156,188.23751634393943,179.6778239301013,182.1775610630626,10006101
2006-05-12,183.95765686035156,190.3584835433943,182.6320334148851,184.82877573745333,9405742
2006-05-15,158.7709197998047,184.8287534673593,156.00606622997256,184.8287534673593,17413294
2006-05-16,163.77041625976562,166.64890274474786,145.9692887708189,159.07394972149353,24337057
2006-05-17,165.0581512451172,169.56524270142583,163.35377831976112,168.16387705926527,9976490
2006-05-18,145.51478576660156,159.07395144230438,142.56055698884944,152.2564974736373,14918728
2006-05-19,143.0150604248047,158.16496786465603,140.13658642845752,152.25650982966448,13498857
2006-05-22,133.35696411132812,147.37061799327105,124.91089428445629,144.68150695663442,11089691
2006-05-23,144.4164276123047,145.66629619911456,126.46380103276381,136.3112396835573,8021716
2006-05-24,140.5531768798828,152.7867307321737,137.10657907121782,147.7115150261384,13548262
2006-05-25,139.34121704101562,145.43906294926603,130.36490973855118,137.86410883134417,13068952
2006-05-26,140.17445373535156,147.5978968726074,137.18234742508506,142.3333058871206,8753857
2006-05-29,143.05296325683594,150.74153811604987,140.174488750977,140.174488750977,6483712
